10 10 10
1 10 10
3 10 10
10 10 10
10 10 10
10 10 10
10 10 10
10 10 10
10 10 10
10 10 10
10 10 10
10 10 10
50 50 50
100 100 100
100 100 100
100 100 100
100 100 100
100 100 100
100 100 100
100 100 100
100 100 100
100 100 100
100 100 100
100 100 100
100 100 100
100 100 100
100 100 100
30 40 30
30 20 20
10 10 10
5 5 5
2 2 2
1 1 1
1 1 1
1 1 1
10 10 10
20 20 20
30 30 30
40 40 40
50 50 50
60 60 60
70 70 70
80 80 80
90 90 90
100 100 100
96 96 96
97 97 97
50 50 50
50 50 50
5 5 5
100 100 100
5 5 5
100 100 100
5 5 5
100 100 100
5 5 5
100 100 100
3 3 3
3 3 3
3 3 3
3 3 3
3 3 3
3 3 3
3 3 3
3 3 3
3 3 3
3 3 3
3 3 3
3 3 3
3 3 3
3 3 3
3 3 3
3 3 3
3 3 3
3 3 3
50 50 50
50 50 50
50 50 50
50 50 50
50 50 50
50 50 50
50 50 50
50 50 50
50 50 50
50 50 50
50 50 50
50 50 50
50 50 50
50 50 50
50 50 50
90 90 90
100 100 100
100 100 100
100 100 100
100 100 100
100 100 100
100 100 100
100 100 100
100 100 100
100 100 100
100 100 100
25 25 25
20 20 20
20 20 20
20 20 20
10 10 10
10 10 10
10 10 10
10 10 10
10 10 10
10 10 10
10 10 10
10 10 10
10 10 10
10 10 10
10 10 10
15 15 15
15 15 15
5 5 5
5 5 5
5 5 5
5 5 5
5 5 5
5 5 5
5 5 5
5 5 5
5 5 5
5 5 5
5 5 5
100 100 100
5 5 5
5 5 5
5 5 5
5 5 5
5 5 5
5 5 5
5 5 5
5 5 5
5 5 5
5 5 5
10 10 10
10 10 10
20 20 20
20 20 20
30 30 30
30 30 30
40 40 40
40 40 40
50 50 50
50 50 50
60 60 60
60 60 60
70 70 70
70 70 70
80 80 80
80 80 80
90 90 90
90 90 90
10 10 10
10 10 10
10 10 10
10 10 10
10 10 10
10 10 10
10 10 10
50 50 50
60 60 60
70 70 70
80 80 80
85 85 85
85 85 85
85 85 85
60 60 60
60 60 60
60 60 60
50 50 50
30 30 30
30 30 30
70 70 70
73 73 73
75 75 75
76 76 76
77 77 77
78 78 78
50 50 50
10 10 10
10 10 10
10 10 10
10 10 10
10 10 10
10 10 10
10 10 10
10 10 10
10 10 10
10 10 10
10 10 10
10 10 10
